Date (GMT),Rate**
Average,60.205504
14-Jan-10,45.5355
15-Jan-10,45.5705
16-Jan-10,45.6205
17-Jan-10,45.8105
18-Jan-10,45.811
19-Jan-10,45.646
20-Jan-10,45.856
21-Jan-10,46.126
22-Jan-10,46.116
23-Jan-10,46.231
24-Jan-10,46.231
25-Jan-10,46.231
26-Jan-10,46.086
27-Jan-10,45.856
28-Jan-10,46.326
29-Jan-10,46.386
30-Jan-10,46.181
31-Jan-10,46.106
01-Feb-10,46.106
02-Feb-10,46.296
03-Feb-10,46.14
04-Feb-10,45.976
05-Feb-10,46.24
06-Feb-10,46.746
07-Feb-10,46.746
08-Feb-10,46.746
09-Feb-10,46.73
10-Feb-10,46.516
11-Feb-10,46.386
12-Feb-10,46.416
13-Feb-10,46.466
14-Feb-10,46.43
15-Feb-10,46.43
16-Feb-10,46.326
17-Feb-10,46.046
18-Feb-10,46.016
19-Feb-10,46.226
20-Feb-10,46.23
21-Feb-10,46.261
22-Feb-10,46.261
23-Feb-10,46.176
24-Feb-10,46.13
25-Feb-10,46.296
26-Feb-10,46.316
27-Feb-10,46.076
28-Feb-10,46.076
01-Mar-10,46.076
02-Mar-10,46.04
03-Mar-10,46.036
04-Mar-10,45.826
05-Mar-10,45.846
06-Mar-10,45.49
07-Mar-10,45.516
08-Mar-10,45.516
09-Mar-10,45.43
10-Mar-10,45.626
11-Mar-10,45.3
12-Mar-10,45.47
13-Mar-10,45.4
14-Mar-10,45.506
15-Mar-10,45.506
16-Mar-10,45.566
17-Mar-10,45.426
18-Mar-10,45.3
19-Mar-10,45.521
20-Mar-10,45.276
21-Mar-10,45.276
22-Mar-10,45.276
23-Mar-10,45.496
24-Mar-10,45.426
25-Mar-10,45.431
26-Mar-10,45.506
27-Mar-10,45.131
28-Mar-10,45.146
29-Mar-10,45.146
30-Mar-10,44.916
31-Mar-10,44.97
01-Apr-10,44.976
02-Apr-10,44.62
03-Apr-10,44.816
04-Apr-10,44.816
05-Apr-10,44.816
06-Apr-10,44.4
07-Apr-10,44.436
08-Apr-10,44.42
09-Apr-10,44.37
10-Apr-10,44.24
11-Apr-10,44.16
12-Apr-10,44.16
13-Apr-10,44.4
14-Apr-10,44.586
15-Apr-10,44.22
16-Apr-10,44.43
17-Apr-10,44.3
18-Apr-10,44.326
19-Apr-10,44.326
20-Apr-10,44.736
21-Apr-10,44.42
22-Apr-10,44.556
23-Apr-10,44.47
24-Apr-10,44.32
25-Apr-10,44.32
26-Apr-10,44.32
27-Apr-10,44.29
28-Apr-10,44.436
29-Apr-10,44.53
30-Apr-10,44.47
01-May-10,44.226
02-May-10,44.226
03-May-10,44.226
04-May-10,44.43
05-May-10,44.57
06-May-10,44.826
07-May-10,45.316
08-May-10,45.426
09-May-10,45.426
10-May-10,45.426
11-May-10,44.771
12-May-10,45.03
13-May-10,44.97
14-May-10,45.03
15-May-10,45.23
16-May-10,45.3
17-May-10,45.226
18-May-10,45.53
19-May-10,45.54
20-May-10,46.281
21-May-10,46.77
22-May-10,46.926
23-May-10,46.926
24-May-10,46.926
25-May-10,46.84
26-May-10,47.516
27-May-10,47.126
28-May-10,46.736
29-May-10,46.33
30-May-10,46.33
31-May-10,46.336
01-Jun-10,46.366
02-Jun-10,47.091
03-Jun-10,46.83
04-Jun-10,46.576
05-Jun-10,46.89
06-Jun-10,46.876
07-Jun-10,46.876
08-Jun-10,47.088
09-Jun-10,46.84
10-Jun-10,46.84
11-Jun-10,46.8
12-Jun-10,46.8
13-Jun-10,46.8
14-Jun-10,46.786
15-Jun-10,46.43
16-Jun-10,46.44
17-Jun-10,46.43
18-Jun-10,46.12
19-Jun-10,46.04
20-Jun-10,45.986
21-Jun-10,45.986
22-Jun-10,45.7
23-Jun-10,46.026
24-Jun-10,46.186
25-Jun-10,46.3
26-Jun-10,46.19
27-Jun-10,46.2
28-Jun-10,46.366
29-Jun-10,46.14
30-Jun-10,46.44
01-Jul-10,46.43
02-Jul-10,46.43
03-Jul-10,46.6
04-Jul-10,46.576
05-Jul-10,46.576
06-Jul-10,46.736
07-Jul-10,46.63
08-Jul-10,46.986
09-Jul-10,46.7
10-Jul-10,46.55
11-Jul-10,46.55
12-Jul-10,46.666
13-Jul-10,46.7
14-Jul-10,46.746
15-Jul-10,46.726
16-Jul-10,46.5
17-Jul-10,46.71
18-Jul-10,46.711
19-Jul-10,46.711
20-Jul-10,46.61
21-Jul-10,47.256
22-Jul-10,47.101
23-Jul-10,47.09
24-Jul-10,46.92
25-Jul-10,46.926
26-Jul-10,46.87
27-Jul-10,47.05
28-Jul-10,46.656
29-Jul-10,46.72
30-Jul-10,46.49
31-Jul-10,46.38
01-Aug-10,46.39
02-Aug-10,46.376
03-Aug-10,46.096
04-Aug-10,46.13
05-Aug-10,46.05
06-Aug-10,46.086
07-Aug-10,46
08-Aug-10,45.966
09-Aug-10,45.966
10-Aug-10,46.086
11-Aug-10,46.34
12-Aug-10,46.63
13-Aug-10,46.73
14-Aug-10,46.63
15-Aug-10,46.63
16-Aug-10,46.636
17-Aug-10,46.691
18-Aug-10,46.616
19-Aug-10,46.546
20-Aug-10,46.366
21-Aug-10,46.616
22-Aug-10,46.616
23-Aug-10,46.616
24-Aug-10,46.571
25-Aug-10,46.866
26-Aug-10,46.881
27-Aug-10,46.796
28-Aug-10,46.811
29-Aug-10,46.811
30-Aug-10,46.811
31-Aug-10,46.881
01-Sep-10,47.036
02-Sep-10,46.69
03-Sep-10,46.656
04-Sep-10,46.49
05-Sep-10,46.586
06-Sep-10,46.586
07-Sep-10,46.521
08-Sep-10,46.7
09-Sep-10,46.526
10-Sep-10,46.311
11-Sep-10,46.27
12-Sep-10,46.291
13-Sep-10,46.291
14-Sep-10,46.29
15-Sep-10,46.17
16-Sep-10,46.25
17-Sep-10,46.13
18-Sep-10,45.86
19-Sep-10,45.886
20-Sep-10,45.886
21-Sep-10,45.658
22-Sep-10,45.6
23-Sep-10,45.5
24-Sep-10,45.561
25-Sep-10,45.248
26-Sep-10,45.12
